review_id,review_text,sentiment
1,"Amazing experience, will order again",positive
2,Very happy with the app and delivery speed,positive
3,"Delivery was okay, nothing special",neutral
4,"Very slow delivery, not satisfied",negative
5,Great service and friendly delivery partner,positive
6,Refund process is too slow,negative
7,"Delivery was okay, nothing special",neutral
8,Terrible service and rude delivery partner,negative
9,Wrong items delivered again,negative
10,Smooth ordering and fast checkout,positive
11,Experience was neither good nor bad,neutral
12,App keeps crashing frequently,negative
13,Support team responded late,neutral
14,"Very slow delivery, not satisfied",negative
15,Wrong items delivered again,negative
16,Delivery was super fast and very convenient,positive
17,"Amazing experience, will order again",positive
18,Delivery time was acceptable,neutral
19,"Amazing experience, will order again",positive
20,Support team responded late,neutral
21,Delivery time was acceptable,neutral
22,Products were fresh and well packed,positive
23,Support team responded late,neutral
24,"Amazing experience, will order again",positive
25,Products were damaged and poorly packed,negative
26,Order arrived as expected,neutral
27,Products were fresh and well packed,positive
28,Experience was neither good nor bad,neutral
29,Loved the quick service and fresh products,positive
30,Delivery was very late and disappointing,negative
31,Products were damaged and poorly packed,negative
32,Great service and friendly delivery partner,positive
33,Loved the quick service and fresh products,positive
34,Customer support was very helpful,positive
35,Order arrived as expected,neutral
36,Very happy with the app and delivery speed,positive
37,Support team responded late,neutral
38,Customer service is very bad,negative
39,Very happy with the app and delivery speed,positive
40,Not happy with the overall service,negative
41,"Super quick delivery, highly recommended",positive
42,Products were fresh and well packed,positive
43,"Super quick delivery, highly recommended",positive
44,"Worst experience, order got cancelled",negative
45,Overall experience is normal,neutral
46,Customer support was very helpful,positive
47,Refund process is too slow,negative
48,Loved the quick service and fresh products,positive
49,Loved the quick service and fresh products,positive
50,"Delivery was okay, nothing special",neutral
51,Order arrived as expected,neutral
52,"Service is average, could be better",neutral
53,Smooth ordering and fast checkout,positive
54,Products were fresh and well packed,positive
55,"Delivery was okay, nothing special",neutral
56,Delivery was super fast and very convenient,positive
57,Product quality is fine,neutral
58,"Worst experience, order got cancelled",negative
59,Wrong items delivered again,negative
60,Prices are slightly high but service is okay,neutral
61,Very happy with the app and delivery speed,positive
62,Order arrived as expected,neutral
63,Products were damaged and poorly packed,negative
64,"Worst experience, order got cancelled",negative
65,Customer service is very bad,negative
66,Not happy with the overall service,negative
67,Excellent experience with instant delivery,positive
68,Excellent experience with instant delivery,positive
69,Loved the quick service and fresh products,positive
70,Delivery was very late and disappointing,negative
71,Products were fresh and well packed,positive
72,Product quality is fine,neutral
73,Delivery was super fast and very convenient,positive
74,Terrible service and rude delivery partner,negative
75,Not happy with the overall service,negative
76,"Amazing experience, will order again",positive
77,Terrible service and rude delivery partner,negative
78,Excellent experience with instant delivery,positive
79,Not happy with the overall service,negative
80,Terrible service and rude delivery partner,negative
